Citibank-Postal mail-Bank account or service-Closed with monetary relief,28
Citibank-Postal mail-Bank account or service-Closed with non-monetary relief,7
Citibank-Postal mail-Bank account or service-Closed with relief,1
Citibank-Postal mail-Bank account or service-Closed without relief,1
Citibank-Postal mail-Credit card-Closed,1
Citibank-Postal mail-Credit card-Closed with explanation,662
Citibank-Postal mail-Credit card-Closed with monetary relief,325
Citibank-Postal mail-Credit card-Closed with non-monetary relief,104
Citibank-Postal mail-Credit card-Closed with relief,13
Citibank-Postal mail-Credit card-Closed without relief,33
Citibank-Postal mail-Credit reporting-Closed,1
Citibank-Postal mail-Credit reporting-Closed with explanation,26
Citibank-Postal mail-Credit reporting-Closed with non-monetary relief,5
Citibank-Postal mail-Debt collection-Closed,1
Citibank-Postal mail-Debt collection-Closed with explanation,127
Citibank-Postal mail-Debt collection-Closed with monetary relief,20
Citibank-Postal mail-Debt collection-Closed with non-monetary relief,17
Citibank-Postal mail-Debt collection-In progress,1
Citibank-Postal mail-Mortgage-Closed,8
Citibank-Postal mail-Mortgage-Closed with explanation,433
Citibank-Postal mail-Mortgage-Closed with monetary relief,15
Citibank-Postal mail-Mortgage-Closed with non-monetary relief,40
Citibank-Postal mail-Mortgage-Closed with relief,4
Citibank-Postal mail-Mortgage-Closed without relief,12
Citibank-Postal mail-Mortgage-Untimely response,2
Citibank-Postal mail-Others-Closed with explanation,54
Citibank-Postal mail-Others-Closed with monetary relief,7
Citibank-Postal mail-Others-Closed with non-monetary relief,7
Citibank-Postal mail-Others-Closed with relief,2
Citibank-Postal mail-Others-Closed without relief,8
Citibank-Referral-Bank account or service-Closed with explanation,517
Citibank-Referral-Bank account or service-Closed with monetary relief,190
Citibank-Referral-Bank account or service-Closed with non-monetary relief,41
Citibank-Referral-Bank account or service-Closed with relief,9
Citibank-Referral-Bank account or service-Closed without relief,37
Citibank-Referral-Credit card-Closed,7
Citibank-Referral-Credit card-Closed with explanation,1101
Citibank-Referral-Credit card-Closed with monetary relief,654
Citibank-Referral-Credit card-Closed with non-monetary relief,197
Citibank-Referral-Credit card-Closed with relief,143
Citibank-Referral-Credit card-Closed without relief,301
Citibank-Referral-Credit card-In progress,6
Citibank-Referral-Credit card-Untimely response,10
Citibank-Referral-Credit reporting-Closed with explanation,11
Citibank-Referral-Credit reporting-Closed with monetary relief,3
Citibank-Referral-Credit reporting-Closed with non-monetary relief,4
Citibank-Referral-Debt collection-Closed,2
Citibank-Referral-Debt collection-Closed with explanation,221
Citibank-Referral-Debt collection-Closed with monetary relief,23
Citibank-Referral-Debt collection-Closed with non-monetary relief,50
Citibank-Referral-Debt collection-In progress,1
Citibank-Referral-Mortgage-Closed,35
Citibank-Referral-Mortgage-Closed with explanation,2090
Citibank-Referral-Mortgage-Closed with monetary relief,72
Citibank-Referral-Mortgage-Closed with non-monetary relief,189
Citibank-Referral-Mortgage-Closed with relief,65
Citibank-Referral-Mortgage-Closed without relief,137
Citibank-Referral-Mortgage-In progress,1
Citibank-Referral-Mortgage-Untimely response,37
Citibank-Referral-Others-Closed with explanation,145
Citibank-Referral-Others-Closed with monetary relief,13
Citibank-Referral-Others-Closed with non-monetary relief,18
Citibank-Referral-Others-Closed with relief,1
Citibank-Referral-Others-Closed without relief,12
Citibank-Web-Bank account or service-Closed,2
Citibank-Web-Bank account or service-Closed with explanation,1235
